ID,First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
1,Joseph,Nardella,91,FO,3,1,0,0,0,0,1,3,0,0,0,0,0,0,28,1,0,83,49,34,0.5903614457831325,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2,Ryan,Ambler,13,M,1,2,2,2,0,2,0,5,0.4,4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0
3,Conor,Gaffney,38,FO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,23,9,14,0.391304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
4,Jeff,Trainor,43,M,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
5,Blaze,Riorden,0,G,3,2,0,0,0,0,2,0,0,0,0,0,0,0,13,1,1,0,0,0,0,45,0.625,28,14.004862799583188,1,0,5758,0,0,0,0,0,0,,4
6,Chris,Cloutier,2,A,2,6,4,4,0,4,2,12,0.3333333333333333,8,0.6666666666666666,0,0,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,,0
7,Mac,O'Keefe,3,A,3,3,3,3,0,3,0,7,0.42857142857142855,5,0.7142857142857143,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0
8,Eric,Scott,5,M,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
9,Max,Adler,9,FO,3,0,0,0,0,0,0,3,0,2,0.6666666666666666,0,0,0,24,5,1,71,39,32,0.5492957746478874,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
10,Jarrod,Neumann,88,D,3,0,0,0,0,0,0,3,0,1,0.3333333333333333,3,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
11,Dhane,Smith,92,M,3,18,8,7,1,9,9,13,0.6153846153846154,9,0.6923076923076923,1,1,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
12,Chase,Fraser,95,A,3,8,6,6,0,6,2,16,0.375,11,0.6875,1,0,1,5,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
13,Jack,Rowlett,99,D,3,1,0,0,0,0,1,1,0,0,0,1,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,,0
14,JT,Giles-Harris,,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
15,Eric,Rubak,,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
16,Colin,Heacock,2,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
17,Isaiah,Davis-Allen,26,SSDM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
18,Eddy,Glazener,30,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
19,Hugh,Crance,31,LSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
20,Finn,Sullivan,36,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
21,Patrick,Harbeson,40,SSDM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
22,Charlie,Bertrand,41,M,1,4,4,4,0,4,0,7,0.5714285714285714,4,0.5714285714285714,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
23,Ryan,Lee,45,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
24,John,Sexton,46,LSM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
